etat,bucket,file,dur,start,end,src
CORTEX,FRAGMENTS,C062_v3_cortex.wav,6.469,1220.048,1226.518,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C064_v3_cortex.wav,10.818,1255.997,1266.815,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C065_v3_cortex.wav,7.659,1268.483,1276.143,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C071_v3_cortex.wav,7.632,1425.76,1433.392,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C074_v3_cortex.wav,10.417,1476.033,1486.45,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C075_v3_cortex.wav,8.401,1491.992,1500.393,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C081_v3_cortex.wav,11.91,1663.982,1675.892,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C083_v3_cortex.wav,7.553,1711.988,1719.541,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C088_v3_cortex.wav,11.081,1848.001,1859.082,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C089_v3_cortex.wav,8.911,1863.981,1872.892,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C001_v3_cortex.wav,16.454,0.0,16.454,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C011_v3_cortex.wav,14.536,161.079,175.615,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C015_v3_cortex.wav,17.465,208.247,225.712,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C020_v3_cortex.wav,21.897,269.983,291.881,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C022_v3_cortex.wav,23.289,316.004,339.293,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C023_v3_cortex.wav,23.874,344.06,367.934,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C024_v3_cortex.wav,21.779,372.141,393.92,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C028_v3_cortex.wav,26.739,463.983,490.722,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C029_v3_cortex.wav,15.538,491.98,507.518,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C030_v3_cortex.wav,21.736,508.732,530.469,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C031_v3_cortex.wav,15.787,534.982,550.769,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C032_v3_cortex.wav,16.395,554.983,571.377,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C033_v3_cortex.wav,16.413,573.043,589.456,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C046_v3_cortex.wav,17.617,781.896,799.513,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C049_v3_cortex.wav,16.008,847.982,863.99,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C050_v3_cortex.wav,19.979,879.997,899.976,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C052_v3_cortex.wav,28.343,944.318,972.661,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C053_v3_cortex.wav,13.738,983.981,997.72,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C054_v3_cortex.wav,23.84,1008.165,1032.005,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C055_v3_cortex.wav,17.037,1049.981,1067.018,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C057_v3_cortex.wav,20.258,1081.985,1102.242,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C058_v3_cortex.wav,15.536,1133.981,1149.518,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C059_v3_cortex.wav,15.215,1158.009,1173.224,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C063_v3_cortex.wav,15.662,1231.98,1247.642,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C066_v3_cortex.wav,14.151,1279.991,1294.142,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C067_v3_cortex.wav,15.747,1304.184,1319.931,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C068_v3_cortex.wav,26.288,1338.063,1364.351,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C069_v3_cortex.wav,17.536,1371.981,1389.517,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C070_v3_cortex.wav,13.05,1405.482,1418.532,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C072_v3_cortex.wav,16.036,1435.983,1452.019,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C073_v3_cortex.wav,16.499,1456.016,1472.516,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C076_v3_cortex.wav,15.159,1503.982,1519.141,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C077_v3_cortex.wav,14.788,1520.981,1535.769,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C078_v3_cortex.wav,21.817,1552.054,1573.871,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C079_v3_cortex.wav,21.759,1600.004,1621.764,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C080_v3_cortex.wav,23.637,1632.07,1655.707,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C082_v3_cortex.wav,16.745,1680.013,1696.758,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C084_v3_cortex.wav,18.029,1723.981,1742.01,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C085_v3_cortex.wav,15.286,1760.002,1775.288,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C086_v3_cortex.wav,14.486,1783.982,1798.468,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C087_v3_cortex.wav,31.891,1807.98,1839.871,ambiance opacité fin V6 Cortex.wav
CORTEX,LONG_MOYEN,C090_v3_cortex.wav,26.739,1919.983,1946.722,ambiance opacité fin V6 Cortex.wav
HIPPOCAMPE,FRAGMENTS,H001_v3_hippocampe.wav,0.766,0.0,0.766,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H002_v3_hippocampe.wav,4.58,4.981,9.561,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H003_v3_hippocampe.wav,4.365,11.731,16.096,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H004_v3_hippocampe.wav,1.067,17.992,19.059,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H005_v3_hippocampe.wav,3.223,21.983,25.206,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H006_v3_hippocampe.wav,8.036,29.981,38.017,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H007_v3_hippocampe.wav,1.153,39.982,41.135,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H008_v3_hippocampe.wav,9.875,48.009,57.884,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H009_v3_hippocampe.wav,8.852,58.734,67.585,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H010_v3_hippocampe.wav,6.852,69.031,75.883,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H011_v3_hippocampe.wav,10.452,76.892,87.344,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H012_v3_hippocampe.wav,2.041,92.009,94.05,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H013_v3_hippocampe.wav,1.533,96.362,97.895,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H014_v3_hippocampe.wav,5.118,101.641,106.759,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H015_v3_hippocampe.wav,4.801,112.134,116.935,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H016_v3_hippocampe.wav,4.408,121.239,125.647,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H017_v3_hippocampe.wav,2.176,129.963,132.139,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H018_v3_hippocampe.wav,2.13,138.621,140.752,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H019_v3_hippocampe.wav,11.183,142.779,153.962,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H020_v3_hippocampe.wav,1.424,155.133,156.557,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H021_v3_hippocampe.wav,12.809,157.429,170.238,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H022_v3_hippocampe.wav,3.909,172.104,176.013,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H023_v3_hippocampe.wav,1.352,179.986,181.339,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H024_v3_hippocampe.wav,0.952,187.107,188.059,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H025_v3_hippocampe.wav,3.264,189.984,193.248,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H026_v3_hippocampe.wav,0.912,196.061,196.973,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H027_v3_hippocampe.wav,4.608,199.046,203.654,ambiance opacité fin V6 Hippocampe.wav
