fichier,etat,bucket,duree,src,t_debut,t_fin,famille,tags,usage_prefere,notes
C057_v3_cortex.wav,CORTEX,LONG_MOYEN,20.258,ambiance opacité fin V6 Cortex.wav,1081.985,1102.242,,,,
C058_v3_cortex.wav,CORTEX,LONG_MOYEN,15.536,ambiance opacité fin V6 Cortex.wav,1133.981,1149.518,,,,
C059_v3_cortex.wav,CORTEX,LONG_MOYEN,15.215,ambiance opacité fin V6 Cortex.wav,1158.009,1173.224,,,,
C060_v3_cortex.wav,CORTEX,FRAGMENTS,4.94,ambiance opacité fin V6 Cortex.wav,1176.027,1180.967,,,,
C061_v3_cortex.wav,CORTEX,FRAGMENTS,11.491,ambiance opacité fin V6 Cortex.wav,1195.517,1207.008,,,,
C062_v3_cortex.wav,CORTEX,FRAGMENTS,6.469,ambiance opacité fin V6 Cortex.wav,1220.048,1226.518,,,,
C063_v3_cortex.wav,CORTEX,LONG_MOYEN,15.662,ambiance opacité fin V6 Cortex.wav,1231.98,1247.642,,,,
C064_v3_cortex.wav,CORTEX,FRAGMENTS,10.818,ambiance opacité fin V6 Cortex.wav,1255.997,1266.815,,,,
C065_v3_cortex.wav,CORTEX,FRAGMENTS,7.659,ambiance opacité fin V6 Cortex.wav,1268.483,1276.143,,,,
C066_v3_cortex.wav,CORTEX,LONG_MOYEN,14.151,ambiance opacité fin V6 Cortex.wav,1279.991,1294.142,,,,
C067_v3_cortex.wav,CORTEX,LONG_MOYEN,15.747,ambiance opacité fin V6 Cortex.wav,1304.184,1319.931,,,,
C068_v3_cortex.wav,CORTEX,LONG_MOYEN,26.288,ambiance opacité fin V6 Cortex.wav,1338.063,1364.351,,,,
C069_v3_cortex.wav,CORTEX,LONG_MOYEN,17.536,ambiance opacité fin V6 Cortex.wav,1371.981,1389.517,,,,
C070_v3_cortex.wav,CORTEX,LONG_MOYEN,13.05,ambiance opacité fin V6 Cortex.wav,1405.482,1418.532,,,,
C071_v3_cortex.wav,CORTEX,FRAGMENTS,7.632,ambiance opacité fin V6 Cortex.wav,1425.76,1433.392,,,,
C072_v3_cortex.wav,CORTEX,LONG_MOYEN,16.036,ambiance opacité fin V6 Cortex.wav,1435.983,1452.019,,,,
C073_v3_cortex.wav,CORTEX,LONG_MOYEN,16.499,ambiance opacité fin V6 Cortex.wav,1456.016,1472.516,,,,
C074_v3_cortex.wav,CORTEX,FRAGMENTS,10.417,ambiance opacité fin V6 Cortex.wav,1476.033,1486.45,,,,
C075_v3_cortex.wav,CORTEX,FRAGMENTS,8.401,ambiance opacité fin V6 Cortex.wav,1491.992,1500.393,,,,
C076_v3_cortex.wav,CORTEX,LONG_MOYEN,15.159,ambiance opacité fin V6 Cortex.wav,1503.982,1519.141,,,,
C077_v3_cortex.wav,CORTEX,LONG_MOYEN,14.788,ambiance opacité fin V6 Cortex.wav,1520.981,1535.769,,,,
C078_v3_cortex.wav,CORTEX,LONG_MOYEN,21.817,ambiance opacité fin V6 Cortex.wav,1552.054,1573.871,,,,
C079_v3_cortex.wav,CORTEX,LONG_MOYEN,21.759,ambiance opacité fin V6 Cortex.wav,1600.004,1621.764,,,,
C080_v3_cortex.wav,CORTEX,LONG_MOYEN,23.637,ambiance opacité fin V6 Cortex.wav,1632.07,1655.707,,,,
C081_v3_cortex.wav,CORTEX,FRAGMENTS,11.91,ambiance opacité fin V6 Cortex.wav,1663.982,1675.892,,,,
C082_v3_cortex.wav,CORTEX,LONG_MOYEN,16.745,ambiance opacité fin V6 Cortex.wav,1680.013,1696.758,,,,
C083_v3_cortex.wav,CORTEX,FRAGMENTS,7.553,ambiance opacité fin V6 Cortex.wav,1711.988,1719.541,,,,
C084_v3_cortex.wav,CORTEX,LONG_MOYEN,18.029,ambiance opacité fin V6 Cortex.wav,1723.981,1742.01,,,,
C085_v3_cortex.wav,CORTEX,LONG_MOYEN,15.286,ambiance opacité fin V6 Cortex.wav,1760.002,1775.288,,,,
C086_v3_cortex.wav,CORTEX,LONG_MOYEN,14.486,ambiance opacité fin V6 Cortex.wav,1783.982,1798.468,,,,
C087_v3_cortex.wav,CORTEX,LONG_MOYEN,31.891,ambiance opacité fin V6 Cortex.wav,1807.98,1839.871,,,,
C088_v3_cortex.wav,CORTEX,FRAGMENTS,11.081,ambiance opacité fin V6 Cortex.wav,1848.001,1859.082,,,,
C089_v3_cortex.wav,CORTEX,FRAGMENTS,8.911,ambiance opacité fin V6 Cortex.wav,1863.981,1872.892,,,,
C090_v3_cortex.wav,CORTEX,LONG_MOYEN,26.739,ambiance opacité fin V6 Cortex.wav,1919.983,1946.722,,,,
H001_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,0.766,ambiance opacité fin V6 Hippocampe.wav,0.0,0.766,,,,
H002_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,4.58,ambiance opacité fin V6 Hippocampe.wav,4.981,9.561,,,,
H003_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,4.365,ambiance opacité fin V6 Hippocampe.wav,11.731,16.096,,,,
H004_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,1.067,ambiance opacité fin V6 Hippocampe.wav,17.992,19.059,,,,
H005_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,3.223,ambiance opacité fin V6 Hippocampe.wav,21.983,25.206,,,,
H006_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,8.036,ambiance opacité fin V6 Hippocampe.wav,29.981,38.017,,,,
H007_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,1.153,ambiance opacité fin V6 Hippocampe.wav,39.982,41.135,,,,
H008_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,9.875,ambiance opacité fin V6 Hippocampe.wav,48.009,57.884,,,,
H009_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,8.852,ambiance opacité fin V6 Hippocampe.wav,58.734,67.585,,,,
H010_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,6.852,ambiance opacité fin V6 Hippocampe.wav,69.031,75.883,,,,
H011_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,10.452,ambiance opacité fin V6 Hippocampe.wav,76.892,87.344,,,,
H012_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,2.041,ambiance opacité fin V6 Hippocampe.wav,92.009,94.05,,,,
H013_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,1.533,ambiance opacité fin V6 Hippocampe.wav,96.362,97.895,,,,
H014_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,5.118,ambiance opacité fin V6 Hippocampe.wav,101.641,106.759,,,,
H015_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,4.801,ambiance opacité fin V6 Hippocampe.wav,112.134,116.935,,,,
H016_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,4.408,ambiance opacité fin V6 Hippocampe.wav,121.239,125.647,,,,
H017_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,2.176,ambiance opacité fin V6 Hippocampe.wav,129.963,132.139,,,,
H018_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,2.13,ambiance opacité fin V6 Hippocampe.wav,138.621,140.752,,,,
H019_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,11.183,ambiance opacité fin V6 Hippocampe.wav,142.779,153.962,,,,
H020_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,1.424,ambiance opacité fin V6 Hippocampe.wav,155.133,156.557,,,,
H021_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,12.809,ambiance opacité fin V6 Hippocampe.wav,157.429,170.238,,,,
H022_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,3.909,ambiance opacité fin V6 Hippocampe.wav,172.104,176.013,,,,
H023_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,1.352,ambiance opacité fin V6 Hippocampe.wav,179.986,181.339,,,,
H024_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,0.952,ambiance opacité fin V6 Hippocampe.wav,187.107,188.059,,,,
H025_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,3.264,ambiance opacité fin V6 Hippocampe.wav,189.984,193.248,,,,
H026_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,0.912,ambiance opacité fin V6 Hippocampe.wav,196.061,196.973,,,,
H027_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,4.608,ambiance opacité fin V6 Hippocampe.wav,199.046,203.654,,,,
H028_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,9.441,ambiance opacité fin V6 Hippocampe.wav,212.68,222.12,,,,
H029_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,2.03,ambiance opacité fin V6 Hippocampe.wav,223.98,226.01,,,,
H030_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,4.999,ambiance opacité fin V6 Hippocampe.wav,232.002,237.0,,,,
H031_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,2.475,ambiance opacité fin V6 Hippocampe.wav,239.988,242.463,,,,
H032_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,7.334,ambiance opacité fin V6 Hippocampe.wav,250.932,258.266,,,,
H033_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,4.455,ambiance opacité fin V6 Hippocampe.wav,260.035,264.49,,,,
H034_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,2.148,ambiance opacité fin V6 Hippocampe.wav,268.169,270.317,,,,
H035_v3_hippocampe.wav,HIPPOCAMPE,LONG_MOYEN,18.107,ambiance opacité fin V6 Hippocampe.wav,274.3,292.407,,,,
H036_v3_hippocampe.wav,HIPPOCAMPE,LONG_MOYEN,15.777,ambiance opacité fin V6 Hippocampe.wav,305.992,321.769,,,,
H037_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,10.193,ambiance opacité fin V6 Hippocampe.wav,327.993,338.186,,,,
H038_v3_hippocampe.wav,HIPPOCAMPE,LONG_MOYEN,21.635,ambiance opacité fin V6 Hippocampe.wav,409.982,431.617,,,,
H039_v3_hippocampe.wav,HIPPOCAMPE,FRAGMENTS,5.889,ambiance opacité fin V6 Hippocampe.wav,461.98,467.869,,,,
