etat,bucket,file,dur,start,end,src
RECONSTRUCTION,COURT,R066_v2_reconstruction.wav,3.287,729.481,732.769,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R067_v2_reconstruction.wav,2.031,733.494,735.525,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R068_v2_reconstruction.wav,2.323,736.857,739.18,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R069_v2_reconstruction.wav,0.539,742.049,742.588,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R070_v2_reconstruction.wav,0.857,752.481,753.338,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R071_v2_reconstruction.wav,0.867,762.06,762.927,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R072_v2_reconstruction.wav,0.768,772.034,772.802,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R073_v2_reconstruction.wav,2.596,775.984,778.58,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R074_v2_reconstruction.wav,1.388,779.981,781.369,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R075_v2_reconstruction.wav,2.176,782.013,784.189,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R076_v2_reconstruction.wav,4.455,786.535,790.99,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R077_v2_reconstruction.wav,1.154,792.315,793.469,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R078_v2_reconstruction.wav,0.537,795.983,796.521,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R079_v2_reconstruction.wav,1.493,797.981,799.474,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R080_v2_reconstruction.wav,2.191,800.753,802.943,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R081_v2_reconstruction.wav,1.525,803.74,805.265,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R082_v2_reconstruction.wav,1.256,806.235,807.491,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,MOYEN,R083_v2_reconstruction.wav,5.442,811.009,816.451,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R084_v2_reconstruction.wav,3.406,818.35,821.756,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R085_v2_reconstruction.wav,1.265,822.253,823.518,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R086_v2_reconstruction.wav,0.762,824.233,824.995,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R087_v2_reconstruction.wav,0.783,826.735,827.517,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R088_v2_reconstruction.wav,2.596,828.484,831.08,opacité fin V2  Reconstruction.wav
AMBIANCE,OK,A01_v3_cortex_ambiance.wav,19.954,0.0,19.954,ambiance opacité fin V3.wav
AMBIANCE,OK,A02_v3_cortex_ambiance.wav,17.67,24.193,41.862,ambiance opacité fin V3.wav
AMBIANCE,OK,A03_v3_cortex_ambiance.wav,3.023,43.375,46.398,ambiance opacité fin V3.wav
AMBIANCE,OK,A04_v3_cortex_ambiance.wav,37.218,49.993,87.211,ambiance opacité fin V3.wav
AMBIANCE,OK,A05_v3_cortex_ambiance.wav,4.182,95.602,99.784,ambiance opacité fin V3.wav
